state,sector,age_band,sex,adults,capable_adults,excluded_adults,sample_n
Tripura,Rural,35-44,Female,235794.53000000003,46640.0,189154.53000000003,103.0
Haryana,Urban,15-24,Female,871479.92,684026.27,187453.65,112.0
Telangana,Urban,25-34,Female,1515823.69,1331044.96,184778.73,186.0
Rajasthan,Urban,35-44,Male,1274184.03,1090760.23,183423.80000000005,275.0
Tripura,Rural,15-24,Female,232376.34000000003,49247.19,183129.15,98.0
Haryana,Rural,15-24,Male,1300402.95,1117275.7799999998,183127.17000000016,151.0
Kerala,Urban,15-24,Male,1311797.36,1133210.0799999998,178587.28000000003,136.0
Tripura,Rural,25-34,Male,299442.7899999999,126733.13,172709.65999999992,124.0
Odisha,Urban,15-24,Female,643523.23,477114.16,166409.06999999995,139.0
Uttarakhand,Urban,45-59,Female,250536.51,85497.90999999999,165038.60000000003,51.0
Tamil Nadu,Urban,25-34,Male,2948697.4,2785063.75,163633.6499999999,240.0
Jammu & Kashmir,Rural,15-24,Female,626475.05,463627.13000000006,162847.91999999998,135.0
Tripura,Rural,60+,Male,173353.49000000005,12741.85,160611.64000000004,74.0
Kerala,Rural,25-34,Female,984326.02,826212.5000000002,158113.5199999999,78.0
Assam,Urban,60+,Female,184504.52,28266.47,156238.05000000002,111.0
Meghalaya,Rural,45-59,Female,189062.64,33081.93,155980.71000000002,64.0
Assam,Urban,35-44,Female,351364.09,195905.0,155459.09000000003,173.0
Tripura,Rural,15-24,Male,215598.6600000001,61430.26,154168.40000000008,94.0
Uttarakhand,Rural,15-24,Female,609706.6699999999,456113.93,153592.73999999993,86.0
Assam,Urban,60+,Male,212258.41,61088.5,151169.91,120.0
Tripura,Rural,60+,Female,150593.95000000004,1807.67,148786.28000000003,61.0
Chhattisgarh,Urban,15-24,Male,403333.1,258445.1,144888.0,195.0
Odisha,Urban,45-59,Male,602144.9600000001,457589.25,144555.71000000008,125.0
Chhattisgarh,Urban,15-24,Female,402509.03,258487.44,144021.59000000003,184.0
Haryana,Rural,25-34,Male,1587616.8100000003,1443605.66,144011.15000000014,189.0
Andhra Pradesh,Urban,15-24,Female,1051143.0499999998,907779.29,143363.75999999978,96.0
Jharkhand,Urban,35-44,Male,462484.27,320662.79000000004,141821.47999999998,141.0
Jammu & Kashmir,Urban,45-59,Female,232663.73,91130.04,141533.69,124.0
Himachal Pradesh,Rural,45-59,Male,567436.44,426372.65,141063.78999999998,81.0
Karnataka,Rural,25-34,Male,3285426.99,3145625.02,139801.9700000002,300.0
Telangana,Urban,25-34,Male,1657246.6499999994,1517656.2999999998,139590.34999999963,172.0
Himachal Pradesh,Rural,35-44,Female,448263.14,311590.86,136672.27999999997,62.0
Punjab,Urban,15-24,Male,1131558.14,995029.13,136529.01,149.0
Uttarakhand,Urban,35-44,Female,242531.88,106963.49,135568.39,65.0
Jharkhand,Urban,25-34,Male,575319.97,440160.46,135159.50999999995,162.0
Jharkhand,Urban,15-24,Female,475381.6900000001,342193.31999999995,133188.37000000017,143.0
Tripura,Rural,35-44,Male,220770.01,91283.15,129486.86000000002,95.0
Jammu & Kashmir,Urban,60+,Female,134854.41,6455.46,128398.95,87.0
Meghalaya,Rural,25-34,Female,238462.79,111294.73,127168.06,99.0
Kerala,Urban,15-24,Female,1129425.65,1005590.56,123835.0900000002,114.0
Uttarakhand,Rural,35-44,Male,428003.02,304656.83,123346.19,58.0
Assam,Urban,45-59,Male,346142.94000000006,223503.1,122639.84000000004,189.0
Uttarakhand,Urban,25-34,Male,409064.46,295262.3999999999,113802.06000000006,66.0
Meghalaya,Rural,45-59,Male,165075.68,51781.14,113294.54,65.0
Kerala,Urban,35-44,Male,995843.67,883296.9099999999,112546.76,100.0
Himachal Pradesh,Rural,25-34,Female,451919.69000000006,340116.97000000003,111802.72000000004,63.0
Andhra Pradesh,Urban,35-44,Male,1092009.84,981411.91,110597.92999999992,106.0
Kerala,Rural,15-24,Female,895622.33,786653.51,108968.81999999996,73.0
Himachal Pradesh,Rural,35-44,Male,441504.92,332676.74,108828.18,65.0
Telangana,Urban,15-24,Male,1339244.7100000002,1230887.0499999998,108357.66000000038,135.0
Odisha,Urban,25-34,Male,515565.53,407634.1099999999,107931.42000000004,121.0
Meghalaya,Rural,15-24,Male,248202.39,143291.28000000003,104911.11,101.0
Uttarakhand,Rural,15-24,Male,572798.24,467889.18,104909.06,73.0
Jammu & Kashmir,Rural,15-24,Male,678829.3200000001,575622.4900000001,103206.82999999996,133.0
Chhattisgarh,Urban,35-44,Male,455739.23,355189.36,100549.87,209.0
Odisha,Urban,15-24,Male,763547.26,663049.3400000001,100497.91999999993,140.0
Uttarakhand,Urban,15-24,Male,483133.06,382689.39,100443.66999999998,92.0
Meghalaya,Rural,25-34,Male,262902.06,164633.78999999998,98268.27000000002,104.0
Uttarakhand,Rural,25-34,Female,297849.63,199933.95,97915.68000000002,41.0
Assam,Urban,25-34,Female,392044.29,294193.74,97850.55000000005,189.0
Manipur,Rural,45-59,Female,179671.65999999997,84651.15,95020.50999999998,144.0
Karnataka,Urban,35-44,Male,2076228.26,1981583.8,94644.4600000002,182.0
Haryana,Urban,15-24,Male,1013943.17,921040.53,92902.6399999999,121.0
Uttarakhand,Urban,45-59,Male,214235.9,122118.13,92117.77000000003,58.0
Chhattisgarh,Urban,25-34,Male,496803.54,405165.31000000006,91638.22999999998,216.0
Andhra Pradesh,Urban,25-34,Male,1297249.64,1207210.16,90039.47999999998,120.0
Andhra Pradesh,Urban,15-24,Male,940709.62,851225.75,89483.87,100.0
Haryana,Urban,25-34,Male,1303657.26,1215288.87,88368.3899999999,127.0
Telangana,Rural,15-24,Male,1312036.92,1224089.48,87947.43999999994,137.0
Odisha,Urban,35-44,Male,547649.9199999999,461005.78,86644.1399999999,122.0
Uttarakhand,Urban,60+,Male,113142.24,26539.860000000004,86602.38,28.0
Kerala,Urban,25-34,Female,1038390.02,951951.82,86438.20000000007,112.0
Jammu & Kashmir,Rural,25-34,Male,662385.0999999997,577411.8299999997,84973.27000000002,110.0
Meghalaya,Rural,15-24,Female,213483.17000000004,128704.45,84778.72000000003,86.0
Meghalaya,Rural,35-44,Female,120560.13,36815.15,83744.98000000001,57.0
Manipur,Rural,60+,Male,97032.07,13397.39,83634.68000000001,76.0
Telangana,Urban,35-44,Male,1220636.84,1137184.04,83452.79999999981,171.0
Kerala,Rural,15-24,Male,1073043.6,991899.34,81144.26000000001,85.0
Assam,Urban,35-44,Male,430215.76,351521.57,78694.19,181.0
Jammu & Kashmir,Urban,45-59,Male,238967.95,160979.71,77988.23999999999,135.0
Manipur,Rural,60+,Female,91123.11,14160.51,76962.6,68.0
Jammu & Kashmir,Urban,60+,Male,129962.08,53865.2,76096.88,91.0
Uttarakhand,Urban,60+,Female,95644.19,20325.19,75319.0,29.0
Tripura,Urban,45-59,Female,85001.47,10338.13,74663.34,57.0
Tripura,Urban,15-24,Female,103076.80000000002,31631.09,71445.71000000002,62.0
Arunachal Pradesh,Rural,45-59,Female,88219.12000000001,20216.370000000003,68002.75,136.0
Uttarakhand,Urban,35-44,Male,284785.97,217278.83,67507.13999999996,54.0
Uttarakhand,Rural,25-34,Male,523908.09,456422.65,67485.44,67.0
Puducherry,Urban,45-59,Female,88661.63,22348.5,66313.13,25.0
Tripura,Urban,35-44,Male,82998.11000000002,17855.27,65142.84000000001,43.0
Meghalaya,Rural,60+,Male,80758.68000000001,16411.59,64347.09000000001,34.0
Tripura,Urban,35-44,Female,80271.4,17427.32,62844.08,48.0
Jammu & Kashmir,Urban,35-44,Female,195662.26,133566.87,62095.390000000014,107.0
Telangana,Rural,25-34,Male,1299900.2800000005,1238163.02,61737.26000000024,131.0
Assam,Urban,15-24,Female,387666.88,326481.78,61185.09999999998,176.0
Manipur,Rural,15-24,Female,197186.31,136305.02000000002,60881.28999999998,150.0
Tripura,Urban,25-34,Female,69657.78,8880.95,60776.83,37.0
Arunachal Pradesh,Rural,60+,Male,60705.37999999998,938.13,59767.24999999999,86.0
Tripura,Urban,25-34,Male,84421.16,24989.640000000003,59431.52,44.0
Tripura,Urban,45-59,Male,82507.33000000002,23858.120000000003,58649.210000000014,55.0
Manipur,Urban,60+,Female,66094.08,8129.5,57964.58,82.0
Manipur,Urban,60+,Male,63177.560000000005,9696.570000000002,53480.990000000005,84.0
Tripura,Urban,60+,Female,53262.35999999999,0.0,53262.35999999999,36.0
Kerala,Urban,25-34,Male,952610.97,899460.5900000001,53150.37999999989,98.0
Nagaland,Rural,60+,Male,54784.87,2753.57,52031.3,58.0
Manipur,Rural,25-34,Female,146368.88,94994.59,51374.29000000001,117.0
Manipur,Rural,45-59,Male,188059.31,136691.79,51367.51999999999,148.0
Manipur,Urban,45-59,Female,82926.49999999999,32024.980000000003,50901.51999999998,113.0
Meghalaya,Rural,60+,Female,62642.88,12827.9,49814.98,29.0
Puducherry,Rural,60+,Female,49598.42999999999,0.0,49598.42999999999,14.0
Jammu & Kashmir,Urban,35-44,Male,227323.93,178040.77000000002,49283.15999999997,114.0
Manipur,Rural,15-24,Male,212075.61,163450.21,48625.4,158.0
Nagaland,Rural,45-59,Female,55754.64,7473.27,48281.37,62.0
Puducherry,Rural,60+,Male,50034.38,1875.75,48158.63,11.0
Chandigarh,Urban,45-59,Female,66798.68,19410.120000000003,47388.55999999999,11.0
Nagaland,Rural,60+,Female,49172.05,2639.75,46532.3,57.0
Arunachal Pradesh,Rural,60+,Female,46455.599999999984,0.0,46455.599999999984,69.0
Goa,Rural,60+,Male,46096.01,0.0,46096.01,10.0
Arunachal Pradesh,Rural,45-59,Male,80050.66,34302.62,45748.04,121.0
Manipur,Rural,35-44,Female,134901.09,89497.01000000001,45404.07999999999,108.0
Tripura,Urban,60+,Male,52416.53999999999,7354.51,45062.02999999999,35.0
Himachal Pradesh,Rural,15-24,Male,400295.21,355337.1400000001,44958.06999999995,54.0
Goa,Rural,45-59,Male,84201.27,39518.0,44683.27,19.0
Arunachal Pradesh,Rural,15-24,Male,93499.95,50140.17,43359.78,136.0
Goa,Rural,45-59,Female,60313.9,17112.010000000002,43201.88999999999,14.0
Himachal Pradesh,Rural,15-24,Female,303493.22000000003,262032.22,41461.00000000006,42.0
Arunachal Pradesh,Rural,25-34,Female,94430.77,53082.07000000001,41348.69999999998,132.0
Meghalaya,Rural,35-44,Male,132875.94,92901.29,39974.65,58.0
Himachal Pradesh,Urban,45-59,Female,71477.07,32093.25,39383.82000000001,49.0
Karnataka,Urban,25-34,Male,2764035.84,2724713.27,39322.5700000003,229.0
Assam,Urban,15-24,Male,357437.73,318690.68000000005,38747.04999999993,163.0
D&N Haveli & Daman & Diu,Urban,35-44,Female,50106.31,11508.15,38598.16,16.0
Chandigarh,Urban,35-44,Female,55491.740000000005,19258.56,36233.18000000001,9.0
Nagaland,Rural,45-59,Male,60198.44000000001,24444.65,35753.79000000001,64.0
Arunachal Pradesh,Rural,15-24,Female,75109.95999999999,39432.09,35677.86999999999,132.0
Delhi,Rural,25-34,Female,52634.46000000001,18206.23,34428.23000000001,38.0
Puducherry,Urban,45-59,Male,54959.88,20666.0,34293.88,22.0
Assam,Urban,25-34,Male,409204.4,375111.70000000007,34092.69999999995,179.0
Jammu & Kashmir,Urban,25-34,Female,236398.87,203235.01,33163.859999999986,140.0
Himachal Pradesh,Urban,60+,Female,48795.37,16136.69,32658.680000000004,34.0
Arunachal Pradesh,Rural,35-44,Female,63825.65,31232.340000000004,32593.30999999999,103.0
Goa,Urban,35-44,Female,45924.380000000005,13772.120000000004,32152.26,8.0
Sikkim,Rural,45-59,Female,47448.310000000005,15316.93,32131.380000000005,59.0
Jharkhand,Urban,15-24,Male,536623.21,505095.20000000007,31528.009999999893,179.0
Manipur,Urban,35-44,Female,73517.26999999999,42065.0,31452.26999999999,98.0
Manipur,Rural,25-34,Male,169735.99,139806.24,29929.75,142.0
D&N Haveli & Daman & Diu,Urban,25-34,Female,68986.94,39514.54,29472.4,19.0
Goa,Urban,45-59,Male,62967.62,33794.81,29172.81,10.0
Arunachal Pradesh,Rural,25-34,Male,89825.62,60652.850000000006,29172.76999999999,134.0
Andaman & N. Islands,Rural,45-59,Female,31705.44,3171.81,28533.63,20.0
Delhi,Rural,25-34,Male,73212.47,44724.8,28487.67,51.0
Nagaland,Rural,35-44,Female,63249.22,34982.32,28266.899999999998,74.0
Andaman & N. Islands,Rural,45-59,Male,36208.71,8001.76,28206.95,18.0
Goa,Urban,60+,Female,50973.73999999999,23158.12,27815.61999999999,7.0
Andaman & N. Islands,Rural,35-44,Female,31489.53,3836.63,27652.9,15.0
Tripura,Urban,15-24,Male,53857.26999999999,26290.890000000003,27566.379999999983,36.0
Delhi,Rural,45-59,Female,46002.2,18457.05,27545.15,36.0
Delhi,Rural,45-59,Male,55992.42,28771.48,27220.94,43.0
Arunachal Pradesh,Rural,35-44,Male,73356.64000000001,48235.77,25120.870000000017,110.0
Himachal Pradesh,Urban,60+,Male,55714.43,30758.81,24955.620000000003,34.0
Manipur,Urban,45-59,Male,64003.130000000005,39083.54000000001,24919.59,98.0
Goa,Urban,35-44,Male,73775.5,49159.99999999999,24615.500000000007,11.0
Jammu & Kashmir,Urban,15-24,Male,178214.07,153881.0,24333.070000000007,106.0
Mizoram,Rural,60+,Female,33644.12,9974.2,23669.92,52.0
Sikkim,Rural,45-59,Male,51941.84,28611.81,23330.03,64.0
Manipur,Urban,15-24,Female,80965.42,57857.75,23107.67,97.0
Delhi,Rural,35-44,Female,32301.41,9255.55,23045.86,34.0
Nagaland,Urban,60+,Male,24099.67000000001,1300.0,22799.67000000001,38.0
Nagaland,Urban,45-59,Female,28927.83,6222.04,22705.79,50.0
Sikkim,Rural,60+,Female,23992.810000000005,1825.75,22167.060000000005,30.0
Sikkim,Rural,60+,Male,22285.410000000003,763.25,21522.160000000003,29.0
Manipur,Rural,35-44,Male,128242.81,106873.61,21369.20000000001,100.0
Nagaland,Rural,25-34,Female,69510.43,48351.54,21158.889999999992,66.0
Goa,Rural,35-44,Female,54249.01,33106.26,21142.75,12.0
Nagaland,Rural,15-24,Male,46399.52,25659.45,20740.07,51.0
Mizoram,Urban,60+,Female,28556.800000000003,7970.349999999999,20586.450000000004,58.0
Goa,Rural,15-24,Female,52160.9,31940.650000000005,20220.24999999999,12.0
Delhi,Rural,60+,Female,21515.430000000004,1540.0,19975.430000000004,22.0
D&N Haveli & Daman & Diu,Rural,15-24,Female,25633.52,5782.64,19850.88,22.0
Mizoram,Rural,60+,Male,31009.61,11451.46,19558.15,49.0
Manipur,Urban,25-34,Female,65445.45,45946.89,19498.56,97.0
Nagaland,Rural,35-44,Male,74862.59,55687.37,19175.22,80.0
Nagaland,Urban,35-44,Female,45658.55999999999,26795.31,18863.24999999999,70.0
D&N Haveli & Daman & Diu,Rural,45-59,Female,18833.52,0.0,18833.52,17.0
Nagaland,Urban,60+,Female,18675.87,0.0,18675.87,34.0
Goa,Urban,60+,Male,18565.31,0.0,18565.31,3.0
Chandigarh,Urban,25-34,Male,113651.24,95108.12,18543.12000000001,19.0
Goa,Urban,45-59,Female,50838.05,32337.43,18500.619999999995,8.0
Nagaland,Rural,15-24,Female,43848.81,25441.22,18407.59,48.0
Jammu & Kashmir,Urban,25-34,Male,235081.34,216821.24,18260.10000000001,142.0
Manipur,Urban,15-24,Male,71126.19,52881.3,18244.89,104.0
Puducherry,Rural,45-59,Male,24949.120000000003,7087.88,17861.24,8.0
Chandigarh,Urban,15-24,Female,118977.8,101287.74,17690.059999999998,17.0
Delhi,Rural,15-24,Male,51983.96000000001,34482.11,17501.850000000006,41.0
Mizoram,Rural,45-59,Female,37660.05,20477.92,17182.130000000005,60.0
Himachal Pradesh,Urban,25-34,Female,80765.46,63615.93999999999,17149.52000000002,48.0
Goa,Rural,60+,Female,17066.25,0.0,17066.25,5.0
Himachal Pradesh,Urban,45-59,Male,65901.08,49206.88,16694.200000000004,45.0
Mizoram,Urban,15-24,Male,43347.07999999998,26794.720000000005,16552.359999999975,87.0
Andaman & N. Islands,Rural,60+,Male,16488.38,0.0,16488.38,15.0
Puducherry,Urban,25-34,Male,65190.01,48849.01,16341.0,15.0
Puducherry,Urban,15-24,Female,53212.76,36871.76,16341.0,19.0
Delhi,Rural,15-24,Female,32825.04,16833.96,15991.080000000002,28.0
Nagaland,Urban,45-59,Male,31850.89,15902.59,15948.3,56.0
Andaman & N. Islands,Urban,45-59,Female,19290.83,3466.38,15824.45,13.0
Himachal Pradesh,Urban,15-24,Female,48307.09000000001,32739.2,15567.89000000001,26.0
Nagaland,Rural,25-34,Male,48302.17,32740.82,15561.35,49.0
Goa,Urban,25-34,Female,59732.0,44366.81,15365.190000000002,10.0
Himachal Pradesh,Urban,35-44,Female,64247.380000000005,48925.990000000005,15321.39,42.0
Mizoram,Urban,60+,Male,21331.75,6412.360000000001,14919.39,48.0
Mizoram,Rural,15-24,Female,37838.490000000005,22973.05,14865.440000000006,60.0
Sikkim,Rural,35-44,Female,36494.25,21641.67,14852.579999999998,45.0
Himachal Pradesh,Urban,35-44,Male,70764.75,56456.560000000005,14308.189999999997,38.0
D&N Haveli & Daman & Diu,Rural,45-59,Male,19590.64,5543.76,14046.88,16.0
Jammu & Kashmir,Urban,15-24,Female,124290.99,110326.47,13964.51999999999,104.0
Delhi,Rural,60+,Male,15444.3,2067.25,13377.05,18.0
Chandigarh,Urban,25-34,Female,79110.23999999999,65931.68,13178.559999999998,13.0
Delhi,Rural,35-44,Male,33190.61,20048.07,13142.54,31.0
D&N Haveli & Daman & Diu,Rural,35-44,Female,13531.76,418.0,13113.76,10.0
Puducherry,Rural,45-59,Female,27470.61,14673.18,12797.43,11.0
Andaman & N. Islands,Rural,60+,Female,12604.82,0.0,12604.82,12.0
Mizoram,Urban,45-59,Female,36219.33999999998,23718.480000000003,12500.85999999998,79.0
Puducherry,Rural,35-44,Female,22542.94,10424.26,12118.680000000002,5.0
Mizoram,Rural,35-44,Female,36925.57000000001,24889.5,12036.070000000009,54.0
Mizoram,Rural,15-24,Male,37622.0,25640.160000000003,11981.839999999997,57.0
Goa,Rural,15-24,Male,22935.88,11018.13,11917.75,9.0
Andaman & N. Islands,Rural,15-24,Male,21885.76,10215.62,11670.140000000005,13.0
D&N Haveli & Daman & Diu,Rural,25-34,Female,18581.76,7492.0,11089.760000000002,18.0
Himachal Pradesh,Rural,25-34,Male,405359.54,394770.54,10589.0,49.0
Sikkim,Rural,15-24,Male,44395.81000000001,34133.840000000004,10261.970000000008,55.0
Nagaland,Urban,15-24,Female,42952.99999999999,32749.59,10203.409999999993,60.0
Arunachal Pradesh,Urban,15-24,Female,29657.66,19547.34,10110.32,103.0
Arunachal Pradesh,Urban,45-59,Female,20391.46,10329.32,10062.14,86.0
Himachal Pradesh,Urban,25-34,Male,106614.5,96613.25,10001.25,46.0
D&N Haveli & Daman & Diu,Urban,15-24,Female,36229.68000000001,26322.17,9907.510000000006,13.0
Andaman & N. Islands,Urban,45-59,Male,20551.21,10733.01,9818.2,13.0
Meghalaya,Urban,45-59,Female,31982.41,22362.640000000003,9619.769999999997,49.0
D&N Haveli & Daman & Diu,Urban,15-24,Male,76085.13,66677.88,9407.25,20.0
Nagaland,Urban,15-24,Male,39198.96,29926.73,9272.23,56.0
Goa,Urban,15-24,Female,27579.74,18329.430000000004,9250.309999999998,5.0
Meghalaya,Urban,15-24,Female,58677.49,49592.11,9085.379999999996,80.0
Andaman & N. Islands,Rural,35-44,Male,20213.26,11420.82,8792.440000000002,15.0
Mizoram,Rural,45-59,Male,35107.0,26390.08,8716.919999999998,56.0
D&N Haveli & Daman & Diu,Rural,35-44,Male,15416.88,6718.88,8698.0,13.0
Goa,Rural,25-34,Female,26499.26,17885.010000000002,8614.25,8.0
Mizoram,Urban,35-44,Female,44918.53999999999,36457.05999999999,8461.479999999996,94.0
Sikkim,Rural,15-24,Female,36203.420000000006,27758.070000000007,8445.349999999999,47.0
Mizoram,Rural,25-34,Male,40918.07000000001,32558.64,8359.430000000008,67.0
Meghalaya,Urban,60+,Female,15336.78,6985.9400000000005,8350.84,16.0
D&N Haveli & Daman & Diu,Urban,60+,Female,10206.43,2028.26,8178.17,11.0
Manipur,Urban,25-34,Male,65318.310000000005,57172.12,8146.19000000001,80.0
Goa,Rural,35-44,Male,33567.51,25726.26,7841.25,7.0
Sikkim,Rural,35-44,Male,41174.39,33441.54,7732.8499999999985,53.0
Mizoram,Urban,45-59,Male,36320.26,28780.77,7539.489999999994,80.0
Mizoram,Rural,25-34,Female,37384.13000000001,29886.68,7497.450000000015,62.0
Nagaland,Urban,25-34,Female,42750.77,35296.25,7454.520000000004,61.0
Mizoram,Rural,35-44,Male,31659.42,24254.88,7404.539999999997,48.0
Puducherry,Urban,60+,Female,20281.13,13143.38,7137.749999999998,10.0
Mizoram,Urban,15-24,Female,31748.75000000001,24826.950000000008,6921.800000000003,71.0
Meghalaya,Urban,60+,Male,8248.45,1602.19,6646.26,16.0
Meghalaya,Urban,45-59,Male,23566.880000000005,17171.86,6395.020000000004,40.0
Andaman & N. Islands,Urban,60+,Male,6351.82,0.0,6351.82,4.0
Ladakh,Rural,45-59,Female,6326.870000000001,0.0,6326.870000000001,4.0
Chandigarh,Urban,15-24,Male,65561.68000000001,59330.12,6231.560000000005,10.0
Chandigarh,Urban,60+,Female,6080.0,0.0,6080.0,1.0
Sikkim,Rural,25-34,Female,34426.18000000001,28368.310000000005,6057.870000000003,47.0
Andaman & N. Islands,Urban,25-34,Female,14635.830000000002,8709.95,5925.880000000001,9.0
D&N Haveli & Daman & Diu,Urban,60+,Male,7120.15,1293.01,5827.139999999999,5.0
Arunachal Pradesh,Urban,60+,Female,6453.52,862.6999999999999,5590.820000000001,29.0
Arunachal Pradesh,Urban,60+,Male,8160.01,2599.29,5560.72,37.0
Arunachal Pradesh,Urban,15-24,Male,25280.94,19759.83,5521.110000000001,107.0
Arunachal Pradesh,Urban,35-44,Female,19324.25,13815.44,5508.81,80.0
Manipur,Urban,35-44,Male,55783.51000000001,50328.17,5455.340000000011,81.0
Sikkim,Urban,45-59,Female,16886.89,11512.39,5374.5,36.0
Arunachal Pradesh,Urban,45-59,Male,26569.02,21239.209999999995,5329.810000000001,111.0
Meghalaya,Urban,35-44,Male,28118.140000000003,22807.830000000005,5310.309999999998,51.0
Andaman & N. Islands,Urban,35-44,Female,9927.01,4683.4400000000005,5243.57,6.0
Ladakh,Rural,15-24,Female,7850.640000000001,2616.88,5233.760000000001,6.0
Ladakh,Rural,35-44,Female,5233.76,0.0,5233.76,4.0
Andaman & N. Islands,Rural,25-34,Female,16604.25,11423.62,5180.630000000001,10.0
Andaman & N. Islands,Urban,60+,Female,5166.07,0.0,5166.07,3.0
D&N Haveli & Daman & Diu,Rural,60+,Female,5062.88,0.0,5062.88,6.0
Puducherry,Urban,35-44,Female,10257.0,5392.5,4864.5,13.0
Nagaland,Urban,25-34,Male,46874.52,42110.02,4764.5,64.0
Sikkim,Urban,60+,Female,5329.740000000001,579.67,4750.070000000001,9.0
Mizoram,Urban,25-34,Male,35683.32999999999,30945.390000000007,4737.9399999999805,77.0
Mizoram,Urban,35-44,Male,31467.02,26771.480000000003,4695.539999999997,68.0
Ladakh,Rural,60+,Female,4654.06,0.0,4654.06,3.0
Puducherry,Urban,60+,Male,22008.13,17632.879999999997,4375.25,10.0
Nagaland,Urban,35-44,Male,47759.97,43539.69,4220.279999999992,70.0
Arunachal Pradesh,Urban,25-34,Female,25379.3,21275.79,4103.510000000002,102.0
Goa,Rural,25-34,Male,30920.520000000004,26844.020000000004,4076.5,7.0
Sikkim,Urban,45-59,Male,16577.96,12503.84,4074.119999999999,35.0
Ladakh,Rural,45-59,Male,7270.94,3345.62,3925.3200000000006,5.0
Andaman & N. Islands,Rural,15-24,Female,8924.880000000001,5044.88,3880.000000000001,10.0
Meghalaya,Urban,35-44,Female,30598.790000000005,26751.220000000005,3847.57,51.0
Puducherry,Rural,35-44,Male,28318.51,24567.01,3751.5,8.0
D&N Haveli & Daman & Diu,Urban,45-59,Female,19246.63,15660.09,3586.540000000001,14.0
Andaman & N. Islands,Urban,25-34,Male,17433.27,13878.89,3554.380000000001,11.0
Sikkim,Rural,25-34,Male,42286.75,39039.73,3247.019999999997,54.0
Sikkim,Urban,15-24,Female,30216.090000000004,27110.870000000003,3105.220000000001,42.0
Ladakh,Rural,60+,Male,6326.870000000001,3345.62,2981.250000000001,4.0
Ladakh,Rural,25-34,Female,15999.36,13018.11,2981.25,10.0
Andaman & N. Islands,Urban,35-44,Male,13618.45,10655.51,2962.9400000000005,9.0
Arunachal Pradesh,Urban,35-44,Male,20918.149999999998,18103.259999999995,2814.8899999999994,93.0
Arunachal Pradesh,Urban,25-34,Male,22986.39,20244.97,2741.4199999999983,84.0
Lakshadweep,Urban,60+,Female,2714.24,0.0,2714.24,8.0
Meghalaya,Urban,15-24,Male,56451.61999999999,53796.3,2655.3199999999924,81.0
Ladakh,Rural,15-24,Male,7850.640000000001,5233.76,2616.880000000001,6.0
Sikkim,Urban,60+,Male,5857.660000000001,3370.8900000000003,2486.7700000000004,9.0
Lakshadweep,Urban,60+,Male,2914.62,455.31,2459.31,9.0
Puducherry,Urban,25-34,Female,57080.51,54648.51,2432.0,21.0
Andaman & N. Islands,Urban,15-24,Female,13047.82,10844.69,2203.129999999999,9.0
Sikkim,Urban,35-44,Female,7237.47,5216.04,2021.4300000000003,20.0
Lakshadweep,Urban,45-59,Female,2012.81,0.0,2012.81,6.0
Puducherry,Rural,25-34,Female,30309.57,28433.82,1875.75,9.0
Lakshadweep,Urban,35-44,Female,3559.19,1752.63,1806.56,9.0
Ladakh,Urban,60+,Female,2040.5,318.5,1722.0,9.0
Ladakh,Urban,60+,Male,2409.75,700.0,1709.75,10.0
D&N Haveli & Daman & Diu,Rural,15-24,Male,17026.0,15370.0,1656.0,11.0
D&N Haveli & Daman & Diu,Rural,25-34,Male,12947.52,11291.52,1656.0,13.0
Sikkim,Urban,15-24,Male,16485.840000000004,14831.03,1654.8100000000031,29.0
Ladakh,Urban,45-59,Female,3557.75,2030.0,1527.75,16.0
D&N Haveli & Daman & Diu,Urban,45-59,Male,23574.52,22060.13,1514.3899999999994,17.0
Mizoram,Urban,25-34,Female,28951.240000000005,27494.590000000004,1456.6500000000017,66.0
Lakshadweep,Urban,45-59,Male,2880.63,1537.5700000000002,1343.06,7.0
D&N Haveli & Daman & Diu,Rural,60+,Male,1316.88,0.0,1316.88,3.0
Ladakh,Rural,35-44,Male,8215.010000000002,6906.5700000000015,1308.4400000000005,6.0
Lakshadweep,Rural,60+,Female,1267.89,0.0,1267.89,5.0
Andaman & N. Islands,Urban,15-24,Male,20784.45,19598.7,1185.75,13.0
Lakshadweep,Rural,45-59,Female,1400.88,225.75,1175.13,6.0
Sikkim,Urban,35-44,Male,17030.63,15861.580000000002,1169.0499999999993,33.0
Lakshadweep,Urban,35-44,Male,3601.99,2468.12,1133.87,10.0
Ladakh,Urban,35-44,Female,2919.0,1897.0,1022.0,13.0
Sikkim,Urban,25-34,Male,11883.32,10897.56,985.7599999999984,30.0
Lakshadweep,Rural,35-44,Female,1626.63,677.25,949.38,7.0
Himachal Pradesh,Urban,15-24,Male,73861.06,72959.18000000001,901.87999999999,50.0
Ladakh,Urban,15-24,Male,2068.5,1333.5,735.0,9.0
Sikkim,Urban,25-34,Female,20483.74,19750.66,733.0800000000017,46.0
Lakshadweep,Rural,60+,Male,723.63,0.0,723.63,3.0
Lakshadweep,Urban,15-24,Male,3981.59,3308.9,672.69,13.0
Puducherry,Urban,35-44,Male,42382.88,41710.88,672.0,17.0
Puducherry,Urban,15-24,Male,85971.38,85299.38,672.0,21.0
Lakshadweep,Rural,15-24,Female,1719.3900000000003,1175.13,544.2600000000002,7.0
